ano,mes,id_municipio,id_estado,regiao_ssp,homicidio_doloso,numero_de_vitimas_em_homicidio_doloso,homicidio_doloso_por_acidente_de_transito,numero_de_vitimas_em_homicidio_doloso_por_acidente_de_transito,homicidio_culposo_por_acidente_de_transito,homicidio_culposo_outros,tentativa_de_homicidio,lesao_corporal_seguida_de_morte,lesao_corporal_dolosa,lesao_corporal_culposa_por_acidente_de_transito,lesao_corporal_culposa_outras,latrocinio,numero_de_vitimas_em_latrocinio,total_de_estupro,estupro,estupro_de_vulneravel,total_de_roubo_outros,roubo_outros,roubo_de_veiculo,roubo_a_banco,roubo_de_carga,furto_outros,furto_de_veiculo
2019,1,3508603,35,São José dos Campos,0,0,0,0,1,0,1,0,7,2,0,0,0,2,2,0,7,7,3,0,0,19,0
2019,2,3508603,35,São José dos Campos,0,0,0,0,0,0,1,0,15,4,0,0,0,0,0,0,3,3,1,0,0,25,2
2019,3,3508603,35,São José dos Campos,0,0,0,0,2,0,2,0,9,7,0,0,0,3,1,2,6,6,2,0,0,21,4
2019,4,3508603,35,São José dos Campos,0,0,0,0,2,0,0,0,7,1,0,0,0,3,1,2,4,4,2,0,0,19,3
2019,5,3508603,35,São José dos Campos,0,0,0,0,0,0,0,0,10,5,0,0,0,0,0,0,6,6,1,0,0,23,3
2019,6,3508603,35,São José dos Campos,0,0,0,0,0,0,0,0,14,4,0,0,0,0,0,0,5,5,2,0,0,20,2
2019,7,3508603,35,São José dos Campos,0,0,0,0,0,0,2,0,8,3,0,0,0,1,0,1,6,6,0,0,0,31,1
2019,8,3508603,35,São José dos Campos,1,1,0,0,0,0,0,0,5,7,0,0,0,2,1,1,2,2,1,0,0,20,2
2019,9,3508603,35,São José dos Campos,2,2,0,0,0,0,0,0,11,3,0,0,0,0,0,0,1,1,0,0,0,16,1
2019,10,3508603,35,São José dos Campos,1,1,0,0,0,0,1,0,9,3,0,0,0,2,0,2,0,0,1,0,0,18,2
2019,11,3508603,35,São José dos Campos,0,0,0,0,0,0,0,0,14,1,0,0,0,0,0,0,7,6,0,0,1,31,1
2019,12,3508603,35,São José dos Campos,2,2,0,0,0,0,0,0,5,0,0,0,0,1,0,1,3,3,0,0,0,18,2
2019,1,3521200,35,Santos,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,5,0
2019,2,3521200,35,Santos,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0
2019,3,3521200,35,Santos,0,0,0,0,0,0,0,0,4,1,0,0,0,1,0,1,1,0,0,0,1,3,0
2019,4,3521200,35,Santos,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,5,3
2019,5,3521200,35,Santos,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,4,0
2019,6,3521200,35,Santos,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,2,0
2019,7,3521200,35,Santos,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0
2019,8,3521200,35,Santos,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
2019,9,3521200,35,Santos,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0
2019,10,3521200,35,Santos,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,6,0
2019,11,3521200,35,Santos,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,4,0
