id_municipio,idhm,idhm_e,idhm_l,idhm_r
1100015,0.641,0.526,0.763,0.657
1100023,0.702,0.6,0.806,0.716
1100031,0.65,0.559,0.757,0.65
1100049,0.718,0.62,0.821,0.727
1100056,0.692,0.602,0.799,0.688
1100064,0.685,0.584,0.814,0.676
1100072,0.613,0.473,0.774,0.63
1100080,0.611,0.493,0.751,0.616
1100098,0.672,0.536,0.819,0.691
1100106,0.657,0.519,0.823,0.663
1100114,0.689,0.577,0.825,0.687
1100122,0.714,0.617,0.81,0.728
1100130,0.596,0.446,0.755,0.629
1100148,0.643,0.524,0.763,0.664
1100155,0.682,0.569,0.812,0.687
1100189,0.71,0.613,0.803,0.726
1100205,0.736,0.638,0.819,0.764
1100254,0.664,0.55,0.792,0.671
1100262,0.643,0.513,0.813,0.637
1100288,0.7,0.598,0.808,0.709
1100296,0.67,0.564,0.812,0.657
1100304,0.731,0.659,0.808,0.734
1100320,0.646,0.537,0.781,0.644
1100338,0.587,0.424,0.769,0.619
1100346,0.643,0.534,0.763,0.654
1100379,0.592,0.443,0.777,0.603
1100403,0.625,0.457,0.804,0.664
1100452,0.616,0.479,0.751,0.65
1100502,0.634,0.527,0.799,0.606
1100601,0.646,0.506,0.801,0.664
1100700,0.593,0.404,0.772,0.667
1100809,0.649,0.512,0.819,0.652
1100908,0.658,0.547,0.803,0.65
1100924,0.652,0.514,0.82,0.659
1100940,0.612,0.439,0.789,0.663
1101005,0.596,0.444,0.762,0.627
1101104,0.614,0.488,0.751,0.633
1101203,0.638,0.518,0.776,0.647
1101302,0.643,0.494,0.8,0.673
1101401,0.607,0.454,0.762,0.645
1101435,0.587,0.442,0.753,0.608
1101450,0.617,0.485,0.8,0.604
1101468,0.665,0.545,0.816,0.662
1101476,0.641,0.512,0.799,0.645
1101484,0.649,0.571,0.78,0.615
1101492,0.611,0.462,0.751,0.657
1101500,0.598,0.427,0.779,0.644
1101559,0.643,0.498,0.818,0.653
1101609,0.589,0.434,0.757,0.622
1101708,0.609,0.471,0.772,0.621
1101757,0.584,0.421,0.756,0.626
1101807,0.627,0.485,0.792,0.641
1200013,0.604,0.466,0.808,0.584
1200054,0.588,0.456,0.77,0.578
1200104,0.614,0.485,0.77,0.619
1200138,0.589,0.439,0.772,0.603
1200179,0.575,0.398,0.794,0.601
1200203,0.664,0.582,0.776,0.648
1200252,0.653,0.553,0.771,0.654
1200302,0.539,0.388,0.723,0.559
1200328,0.469,0.283,0.731,0.499
1200336,0.625,0.546,0.77,0.58
1200344,0.551,0.373,0.767,0.586
1200351,0.501,0.361,0.726,0.479
1200385,0.622,0.517,0.786,0.593
1200393,0.532,0.397,0.726,0.521
1200401,0.727,0.661,0.798,0.729
1200427,0.567,0.477,0.736,0.518
1200435,0.517,0.34,0.781,0.519
1200450,0.64,0.513,0.786,0.649
1200500,0.603,0.456,0.81,0.593
1200609,0.539,0.392,0.72,0.554
1200708,0.599,0.448,0.773,0.621
1200807,0.576,0.418,0.771,0.593
1300029,0.527,0.377,0.778,0.499
1300060,0.56,0.455,0.773,0.499
1300086,0.594,0.526,0.741,0.537
1300102,0.561,0.433,0.757,0.54
1300144,0.637,0.54,0.772,0.621
1300201,0.45,0.259,0.733,0.481
1300300,0.577,0.446,0.799,0.539
1300409,0.5,0.315,0.728,0.545
1300508,0.574,0.522,0.774,0.469
1300607,0.574,0.471,0.763,0.526
1300631,0.506,0.346,0.731,0.512
1300680,0.565,0.484,0.75,0.496
1300706,0.588,0.455,0.777,0.576
1300805,0.56,0.425,0.776,0.532
1300839,0.569,0.436,0.775,0.544
1300904,0.53,0.379,0.752,0.522
1301001,0.549,0.416,0.745,0.534
1301100,0.557,0.431,0.779,0.515
1301159,0.568,0.45,0.779,0.523
1301209,0.586,0.425,0.78,0.606
1301308,0.563,0.421,0.775,0.546
1301407,0.563,0.431,0.756,0.548
1301506,0.509,0.349,0.727,0.521
1301605,0.53,0.4,0.719,0.518
1301654,0.532,0.387,0.762,0.51
1301704,0.605,0.451,0.791,0.621
1301803,0.481,0.302,0.772,0.476
1301852,0.613,0.476,0.799,0.607
1301902,0.644,0.534,0.811,0.618
1301951,0.477,0.266,0.772,0.529
1302009,0.654,0.594,0.792,0.594
1302108,0.522,0.345,0.748,0.552
1302207,0.522,0.376,0.704,0.538
1302306,0.516,0.34,0.766,0.528
1302405,0.531,0.374,0.744,0.538
1302504,0.614,0.481,0.795,0.604
1302553,0.596,0.51,0.748,0.556
1302603,0.737,0.658,0.826,0.738
1302702,0.582,0.456,0.747,0.58
1302801,0.498,0.348,0.763,0.466
1302900,0.588,0.464,0.8,0.549
1303007,0.586,0.503,0.779,0.513
1303106,0.558,0.412,0.78,0.541
1303205,0.57,0.434,0.776,0.551
1303304,0.554,0.421,0.759,0.532
1303403,0.658,0.605,0.8,0.589
1303502,0.496,0.317,0.724,0.531
1303536,0.647,0.538,0.802,0.627
1303569,0.611,0.493,0.785,0.59
1303601,0.479,0.323,0.737,0.461
1303700,0.49,0.353,0.759,0.438
1303809,0.609,0.476,0.777,0.61
1303908,0.521,0.386,0.78,0.471
1303957,0.577,0.464,0.739,0.561
1304005,0.632,0.584,0.791,0.546
1304062,0.616,0.505,0.769,0.602
1304104,0.502,0.355,0.694,0.512
1304203,0.639,0.511,0.801,0.637
1304237,0.548,0.416,0.779,0.508
1304260,0.527,0.378,0.724,0.535
1304302,0.62,0.575,0.754,0.551
1304401,0.588,0.487,0.776,0.538
1400027,0.484,0.319,0.815,0.437
1400050,0.542,0.379,0.813,0.518
1400100,0.752,0.708,0.816,0.737
1400159,0.626,0.509,0.809,0.597
1400175,0.619,0.509,0.803,0.581
1400209,0.624,0.518,0.78,0.601
1400233,0.639,0.549,0.791,0.6
1400282,0.582,0.434,0.81,0.56
1400308,0.665,0.547,0.813,0.661
1400407,0.594,0.502,0.801,0.52
1400456,0.65,0.558,0.788,0.624
1400472,0.619,0.519,0.798,0.574
1400506,0.655,0.587,0.78,0.614
1400605,0.649,0.574,0.788,0.605
1400704,0.453,0.276,0.766,0.439
1500107,0.628,0.537,0.798,0.579
1500131,0.622,0.481,0.8,0.625
1500206,0.506,0.332,0.757,0.517
1500305,0.489,0.311,0.774,0.485
1500347,0.564,0.399,0.797,0.563
1500404,0.564,0.436,0.779,0.529
1500503,0.642,0.497,0.809,0.659
1500602,0.665,0.548,0.811,0.662
1500701,0.484,0.29,0.774,0.506
1500800,0.718,0.658,0.821,0.684
1500859,0.548,0.371,0.788,0.563
1500909,0.52,0.38,0.772,0.48
1500958,0.519,0.358,0.773,0.504
1501006,0.541,0.45,0.748,0.47
1501105,0.471,0.28,0.777,0.481
1501204,0.578,0.467,0.77,0.538
1501253,0.594,0.42,0.784,0.635
1501303,0.662,0.564,0.801,0.643
1501402,0.746,0.673,0.822,0.751
1501451,0.588,0.478,0.775,0.548
1501501,0.665,0.592,0.798,0.623
1501576,0.589,0.437,0.777,0.601
1501600,0.546,0.398,0.77,0.531
1501709,0.6,0.486,0.755,0.589
1501725,0.613,0.451,0.809,0.632
1501758,0.591,0.473,0.743,0.588
1501782,0.568,0.422,0.781,0.555
1501808,0.503,0.312,0.778,0.524
1501907,0.552,0.437,0.779,0.495
1501956,0.473,0.303,0.779,0.449
1502004,0.546,0.398,0.778,0.525
1502103,0.577,0.474,0.754,0.538
1502152,0.673,0.569,0.801,0.67
1502202,0.655,0.58,0.794,0.61
1502301,0.548,0.385,0.747,0.573
1502400,0.673,0.582,0.8,0.654
1502509,0.453,0.234,0.769,0.516
1502608,0.602,0.528,0.763,0.541
1502707,0.64,0.54,0.77,0.631
1502756,0.566,0.438,0.741,0.56
1502764,0.55,0.33,0.795,0.635
1502772,0.636,0.536,0.809,0.592
1502806,0.502,0.323,0.769,0.508
1502855,0.578,0.495,0.78,0.501
1502905,0.582,0.48,0.758,0.542
1502939,0.615,0.502,0.763,0.606
1502954,0.56,0.405,0.757,0.572
1503002,0.563,0.47,0.756,0.501
1503044,0.583,0.437,0.792,0.573
1503077,0.526,0.353,0.763,0.54
1503093,0.56,0.404,0.743,0.585
1503101,0.509,0.333,0.777,0.51
1503200,0.595,0.49,0.743,0.579
1503309,0.547,0.413,0.77,0.514
1503408,0.572,0.456,0.748,0.55
1503457,0.489,0.304,0.757,0.508
1503507,0.559,0.427,0.763,0.536
1503606,0.64,0.51,0.8,0.644
1503705,0.528,0.364,0.746,0.543
1503754,0.505,0.279,0.8,0.577
1503804,0.622,0.509,0.752,0.628
1503903,0.592,0.501,0.756,0.547
1504000,0.541,0.425,0.754,0.493
1504059,0.599,0.458,0.763,0.615
1504109,0.597,0.507,0.801,0.524
1504208,0.668,0.564,0.785,0.673
1504307,0.57,0.454,0.764,0.534
1504406,0.609,0.521,0.76,0.57
1504422,0.676,0.628,0.793,0.621
1504455,0.582,0.408,0.8,0.605
1504505,0.418,0.207,0.776,0.454
1504604,0.575,0.467,0.754,0.539
1504703,0.547,0.375,0.757,0.578
1504802,0.589,0.495,0.764,0.541
1504901,0.547,0.391,0.775,0.54
1504950,0.502,0.346,0.757,0.482
1504976,0.581,0.435,0.766,0.59
1505007,0.609,0.507,0.791,0.564
1505031,0.673,0.519,0.828,0.709
1505064,0.537,0.376,0.741,0.557
1505106,0.594,0.499,0.756,0.556
