id_municipio,ano,idhm,idhm_e,idhm_l,idhm_r
1100015,1991,0.329,0.112,0.617,0.516
1100023,1991,0.432,0.199,0.684,0.593
1100031,1991,0.309,0.108,0.636,0.43
1100049,1991,0.407,0.171,0.667,0.593
1100056,1991,0.386,0.167,0.629,0.547
1100064,1991,0.376,0.151,0.658,0.536
1100072,1991,0.203,0.039,0.572,0.373
1100080,1991,0.425,0.22,0.629,0.553
1100098,1991,0.388,0.159,0.653,0.561
1100106,1991,0.468,0.247,0.662,0.625
1100114,1991,0.352,0.124,0.658,0.534
1100122,1991,0.433,0.209,0.659,0.589
1100130,1991,0.286,0.074,0.591,0.533
1100148,1991,0.272,0.079,0.607,0.421
1100155,1991,0.382,0.155,0.629,0.57
1100189,1991,0.412,0.185,0.629,0.599
1100205,1991,0.495,0.29,0.633,0.66
1100254,1991,0.348,0.128,0.647,0.507
1100262,1991,0.259,0.065,0.578,0.461
1100288,1991,0.383,0.153,0.665,0.554
1100296,1991,0.289,0.1,0.572,0.422
1100304,1991,0.498,0.284,0.665,0.655
1100320,1991,0.252,0.066,0.559,0.433
1100338,1991,0.336,0.134,0.547,0.517
1100346,1991,0.313,0.112,0.598,0.458
1100379,1991,0.241,0.054,0.572,0.451
1100403,1991,0.269,0.074,0.578,0.454
1100452,1991,0.325,0.113,0.638,0.474
1100502,1991,0.199,0.038,0.572,0.362
1100601,1991,0.283,0.079,0.609,0.47
1100700,1991,0.293,0.085,0.597,0.496
1100809,1991,0.366,0.143,0.578,0.595
1100908,1991,0.221,0.048,0.572,0.394
1100924,1991,0.281,0.068,0.616,0.529
1100940,1991,0.237,0.05,0.629,0.425
1101005,1991,0.217,0.039,0.558,0.471
1101104,1991,0.349,0.135,0.568,0.552
1101203,1991,0.277,0.061,0.638,0.546
1101302,1991,0.254,0.055,0.647,0.459
1101401,1991,0.27,0.062,0.609,0.52
1101435,1991,0.228,0.047,0.591,0.427
1101450,1991,0.174,0.018,0.629,0.463
1101468,1991,0.28,0.072,0.658,0.463
1101476,1991,0.284,0.082,0.629,0.446
1101484,1991,0.232,0.047,0.629,0.425
1101492,1991,0.298,0.086,0.647,0.476
1101500,1991,0.258,0.061,0.622,0.455
1101559,1991,0.226,0.038,0.653,0.466
1101609,1991,0.247,0.052,0.636,0.454
1101708,1991,0.23,0.037,0.647,0.506
1101757,1991,0.216,0.042,0.583,0.412
1101807,1991,0.247,0.053,0.647,0.442
1200013,1991,0.247,0.043,0.652,0.535
1200054,1991,0.314,0.096,0.646,0.499
1200104,1991,0.336,0.123,0.622,0.497
1200138,1991,0.267,0.055,0.677,0.513
1200179,1991,0.183,0.02,0.596,0.514
1200203,1991,0.398,0.188,0.652,0.513
1200252,1991,0.372,0.148,0.643,0.54
1200302,1991,0.258,0.064,0.584,0.459
1200328,1991,0.17,0.024,0.611,0.333
1200336,1991,0.298,0.099,0.622,0.429
1200344,1991,0.218,0.038,0.643,0.423
1200351,1991,0.186,0.03,0.596,0.361
1200385,1991,0.265,0.061,0.649,0.469
1200393,1991,0.176,0.026,0.596,0.354
1200401,1991,0.485,0.259,0.684,0.643
1200427,1991,0.245,0.061,0.622,0.386
1200435,1991,0.167,0.019,0.643,0.378
1200450,1991,0.354,0.123,0.677,0.535
1200500,1991,0.317,0.102,0.647,0.483
1200609,1991,0.274,0.075,0.611,0.45
1200708,1991,0.348,0.131,0.646,0.496
1200807,1991,0.259,0.061,0.622,0.457
1300029,1991,0.306,0.092,0.64,0.487
1300060,1991,0.254,0.064,0.599,0.425
1300086,1991,0.307,0.097,0.59,0.504
1300102,1991,0.357,0.157,0.595,0.489
1300144,1991,0.322,0.099,0.622,0.542
1300201,1991,0.246,0.058,0.64,0.399
1300300,1991,0.357,0.14,0.64,0.507
1300409,1991,0.317,0.1,0.615,0.518
1300508,1991,0.293,0.093,0.62,0.438
1300607,1991,0.3,0.107,0.622,0.404
1300631,1991,0.272,0.081,0.59,0.42
1300680,1991,0.287,0.089,0.599,0.445
1300706,1991,0.288,0.078,0.635,0.484
1300805,1991,0.305,0.1,0.576,0.491
1300839,1991,0.258,0.057,0.622,0.482
1300904,1991,0.212,0.037,0.576,0.449
1301001,1991,0.268,0.071,0.583,0.465
1301100,1991,0.237,0.049,0.64,0.422
1301159,1991,0.248,0.05,0.622,0.492
1301209,1991,0.312,0.105,0.622,0.467
1301308,1991,0.355,0.147,0.563,0.539
1301407,1991,0.295,0.104,0.599,0.413
1301506,1991,0.263,0.073,0.599,0.416
1301605,1991,0.243,0.055,0.576,0.453
1301654,1991,0.266,0.078,0.576,0.42
1301704,1991,0.296,0.08,0.669,0.485
1301803,1991,0.257,0.085,0.539,0.371
1301852,1991,0.323,0.101,0.64,0.521
1301902,1991,0.408,0.192,0.667,0.532
1301951,1991,0.21,0.031,0.611,0.487
1302009,1991,0.409,0.214,0.646,0.495
1302108,1991,0.208,0.029,0.64,0.482
1302207,1991,0.291,0.108,0.539,0.422
1302306,1991,0.187,0.026,0.576,0.438
1302405,1991,0.254,0.058,0.599,0.473
1302504,1991,0.339,0.126,0.612,0.507
1302553,1991,0.244,0.046,0.62,0.51
1302603,1991,0.521,0.307,0.681,0.676
1302702,1991,0.287,0.078,0.622,0.489
1302801,1991,0.265,0.07,0.599,0.444
1302900,1991,0.333,0.118,0.66,0.475
1303007,1991,0.356,0.165,0.599,0.456
1303106,1991,0.321,0.11,0.599,0.501
1303205,1991,0.264,0.064,0.615,0.467
1303304,1991,0.293,0.079,0.622,0.513
1303403,1991,0.414,0.214,0.637,0.52
1303502,1991,0.177,0.019,0.576,0.503
1303536,1991,0.461,0.245,0.646,0.62
1303569,1991,0.353,0.127,0.646,0.536
1303601,1991,0.236,0.06,0.539,0.404
1303700,1991,0.206,0.044,0.576,0.346
1303809,1991,0.388,0.169,0.635,0.545
1303908,1991,0.269,0.095,0.576,0.357
1303957,1991,0.354,0.187,0.614,0.385
1304005,1991,0.373,0.149,0.66,0.529
1304062,1991,0.333,0.109,0.669,0.506
1304104,1991,0.151,0.017,0.539,0.378
1304203,1991,0.349,0.126,0.66,0.51
